HARGA,Luas Bangunan,Luas Tanah,Kamar Tidur,Kamar Mandi,Garasi
3800000000,220,220,3,3,0
4600000000,180,137,4,3,2
3000000000,267,250,4,4,4
430000000,40,25,2,2,0
9000000000,400,355,6,5,3
4970000000,300,154,5,3,3
2600000000,120,150,3,2,1
10500000000,350,247,4,4,0
3250000000,125,90,3,3,0
4500000000,250,96,5,4,1
3600000000,154,110,3,3,3
9500000000,450,240,4,4,1
10500000000,218,118,3,3,2
12500000000,200,979,4,2,6
4600000000,180,137,5,4,2
3000000000,126,144,4,2,2
6000000000,400,150,5,4,1
7500000000,150,253,5,2,2
18000000000,200,251,5,3,3
9700000000,450,248,5,5,4
14000000000,300,700,8,5,2
8000000000,315,218,7,3,2
700000000,75,75,2,3,0
5500000000,350,230,5,5,3
11000000000,650,695,9,6,2
4000000000,250,199,8,2,2
3900000000,210,130,3,4,2
6500000000,300,200,5,5,4
5800000000,175,200,6,4,2
3200000000,140,110,3,3,2
8800000000,400,230,5,5,2
42000000000,900,600,7,7,1
1100000000,102,102,2,1,0
10900000000,646,428,5,5,2
3600000000,145,200,8,8,1
4000000000,220,120,4,4,3
6000000000,325,222,6,5,0
6500000000,300,200,5,5,1
4500000000,250,154,6,3,1
4500000000,247,105,5,5,1
4000000000,200,140,4,4,2
2600000000,150,90,3,2,2
5500000000,210,239,8,5,1
15000000000,339,643,7,5,5
3500000000,190,100,5,4,2
6000000000,450,240,9,9,0
8000000000,300,232,6,5,0
9500000000,352,305,4,3,0
4300000000,135,146,6,6,1
3800000000,200,135,3,4,0
41000000000,850,600,7,7,0
4000000000,190,175,4,2,1
2500000000,120,90,4,1,1
4750000000,180,196,5,5,1
23000000000,750,610,8,6,4
4400000000,250,96,6,5,2
4500000000,220,140,5,4,2
5000000000,250,180,5,3,2
13000000000,200,393,5,3,1
4150000000,216,135,5,4,1
3800000000,260,130,6,3,2
18000000000,300,410,5,3,0
8100000000,245,240,3,3,2
5250000000,147,108,4,3,2
4500000000,120,145,6,4,2
6200000000,170,200,8,5,2
6500000000,250,200,6,3,2
3500000000,170,112,4,5,2
3199000000,150,149,3,2,0
3200000000,150,130,3,2,1
3799000000,200,130,3,3,1
6000000000,250,198,7,4,2
9790000000,403,393,5,3,2
5500000000,170,270,6,3,1
3350000000,120,135,4,3,1
750000000,78,80,3,2,0
3500000000,250,165,6,4,2
4700000000,180,137,4,3,2
3500000000,170,112,3,4,1
2850000000,160,90,4,2,1
3500000000,160,110,3,3,2
3100000000,120,137,5,2,0
13000000000,196,245,7,3,1
4300000000,170,112,4,5,2
5500000000,180,140,3,4,0
6750000000,350,210,4,4,1
3200000000,200,104,4,3,1
8250000000,460,282,6,5,2
3250000000,150,130,5,2,1
3499000000,110,150,3,2,0
5000000000,330,335,8,4,1
9500000000,445,247,6,5,2
3400000000,140,104,4,3,1
5000000000,325,160,9,6,2
5600000000,250,225,5,3,2
4500000000,180,135,4,3,1
10800000000,500,400,6,5,3
2600000000,210,91,5,4,1
3600000000,180,127,4,4,1
3450000000,170,112,3,4,2
7400000000,200,257,4,3,1
10000000000,400,282,8,4,3
15000000000,800,1225,6,9,2
30000000000,800,752,6,4,0
3500000000,170,108,5,3,3
1700000000,100,80,3,2,0
3500000000,250,141,5,3,2
1300000000,100,90,3,2,0
2800000000,160,90,5,3,1
5000000000,325,160,5,5,0
3200000000,150,80,5,3,1
11000000000,275,305,5,3,1
5000000000,320,150,5,5,1
2200000000,70,98,2,1,0
5600000000,156,192,5,2,2
3800000000,211,180,5,4,3
4000000000,200,146,3,1,1
15000000000,800,692,5,4,4
3850000000,200,130,4,4,2
4200000000,160,140,4,3,2
5990000000,350,210,5,4,3
4000000000,180,152,4,3,2
42000000000,850,600,5,5,5
9500000000,340,240,4,3,2
4000000000,190,140,4,4,2
4000000000,139,230,4,4,1
7000000000,400,282,8,4,3
4525000000,100,161,4,2,1
25000000000,485,550,5,6,2
19900000000,346,450,5,5,2
15000000000,400,578,6,3,2
3600000000,170,146,3,3,1
3950000000,200,148,4,3,1
3900000000,200,130,3,2,2
3850000000,236,137,4,3,2
9200000000,450,695,8,6,2
5950000000,220,200,3,3,2
7500000000,500,280,4,4,1
3100000000,200,103,3,3,1
7000000000,400,182,4,3,2
25000000000,550,840,5,3,6
11000000000,280,344,3,3,2
4350000000,180,132,4,3,2
25000000000,355,1069,5,4,4
4300000000,250,155,5,3,2
8800000000,400,230,6,6,2
13000000000,216,384,3,3,2
4700000000,250,150,4,3,2
7200000000,250,161,3,3,2
3500000000,192,120,5,4,2
7900000000,380,225,5,3,2
2800000000,150,103,3,3,2
2600000000,130,75,3,3,1
5900000000,250,202,5,4,2
850000000,78,69,4,2,0
3600000000,250,180,4,2,0
6850000000,219,338,5,3,3
4500000000,325,226,6,4,1
5750000000,350,240,7,5,0
2999000000,140,140,5,3,1
5000000000,180,127,5,4,2
4000000000,200,135,7,4,2
3500000000,150,112,4,4,1
6100000000,375,130,5,4,3
30000000000,800,498,5,5,5
6500000000,250,181,8,4,2
3750000000,150,112,3,5,2
6300000000,200,133,4,3,2
15000000000,480,387,4,4,3
2650000000,125,90,3,4,2
18500000000,800,360,5,7,5
14500000000,500,307,3,4,2
8750000000,350,202,4,5,3
5800000000,200,138,5,4,2
15000000000,250,310,4,5,2
15000000000,400,580,5,4,3
2300000000,100,90,2,2,1
3950000000,200,166,4,4,3
2750000000,120,135,3,2,1
3250000000,251,146,8,8,2
2590000000,170,76,3,3,2
4500000000,140,140,5,4,2
4500000000,200,148,5,4,2
7150000000,250,162,5,3,2
10500000000,200,189,5,2,0
6500000000,245,125,4,3,3
9500000000,280,304,5,5,0
23000000000,480,600,10,4,2
6500000000,200,222,6,2,2
3600000000,170,146,4,3,1
1900000000,135,135,3,3,2
29000000000,980,672,5,6,4
2550000000,150,90,4,4,2
3300000000,120,90,5,4,2
3100000000,200,90,3,3,1
5950000000,220,200,5,4,1
6100000000,250,204,5,3,2
3200000000,150,87,4,3,2
2500000000,140,78,4,3,1
12500000000,600,208,4,5,4
8000000000,152,230,3,3,1
690000000,90,50,3,1,0
15000000000,500,501,6,3,0
9000000000,200,230,6,3,2
4000000000,180,155,4,3,2
3750000000,200,135,5,3,3
22000000000,1080,619,7,6,4
2100000000,160,120,6,3,1
8700000000,160,261,4,4,2
2900000000,175,135,4,2,0
3500000000,235,140,5,4,1
3500000000,120,86,5,4,1
2500000000,200,100,3,3,2
3600000000,170,146,4,3,2
2400000000,147,154,3,2,1
38000000000,500,720,6,6,3
4900000000,179,158,4,4,2
3250000000,250,145,8,8,2
10000000000,600,306,6,5,3
12500000000,250,189,6,4,2
5500000000,200,150,5,3,1
6000000000,150,159,5,4,2
16000000000,300,405,6,4,0
5000000000,200,130,5,4,1
6000000000,340,173,5,4,2
5600000000,156,192,6,2,2
3750000000,300,180,5,3,2
2500000000,140,77,3,3,1
9900000000,200,340,4,4,1
3800000000,200,130,3,3,2
9500000000,300,368,4,3,3
10000000000,350,273,4,3,4
12500000000,465,350,6,6,2
2700000000,135,150,4,2,3
9800000000,400,248,5,5,3
11500000000,400,300,9,6,6
2600000000,120,142,4,2,1
3100000000,120,86,5,4,2
4650000000,320,135,6,5,1
8750000000,250,200,4,4,2
8000000000,250,300,3,3,2
750000000,80,78,3,1,0
5000000000,250,335,7,5,1
8500000000,260,256,5,5,2
28000000000,1000,775,5,3,5
9500000000,400,345,5,3,1
3800000000,200,140,4,3,1
2650000000,125,90,3,3,2
12000000000,230,244,5,4,3
3300000000,170,154,5,3,2
3900000000,260,146,3,1,1
7800000000,200,253,4,3,3
4700000000,200,150,4,4,2
7500000000,444,200,10,10,2
16000000000,400,400,5,4,4
2600000000,120,142,3,2,1
13000000000,250,322,4,3,2
4500000000,250,96,4,5,2
3850000000,200,186,3,2,2
1900000000,125,133,3,3,1
15000000000,500,384,4,3,3
8000000000,168,221,5,3,2
15000000000,480,378,5,4,1
2700000000,125,90,3,3,2
18000000000,800,361,5,4,1
6500000000,300,248,5,4,0
6500000000,200,222,4,2,1
4000000000,150,120,4,3,1
4000000000,250,135,4,5,1
2700000000,210,91,5,3,0
9000000000,470,353,9,6,3
7500000000,200,288,4,2,1
5500000000,200,454,3,4,1
23000000000,350,565,5,3,4
65000000000,300,200,5,7,4
8250000000,400,230,6,4,2
8500000000,300,205,4,4,4
10750000000,200,189,5,4,3
2458000000,165,135,4,3,1
3500000000,125,153,3,2,1
30000000000,815,312,10,7,1
5500000000,280,216,4,3,3
10000000000,300,368,4,4,4
25900000000,600,1039,7,5,10
2999000000,102,102,3,3,2
5899000000,350,130,6,6,3
3245000000,120,152,4,4,4
5750000128,320,183,6,3,3
6500000000,300,213,5,4,4
6500000000,220,181,8,6,1
4800000000,250,170,4,4,3
16000000000,500,420,4,4,4
13000000000,380,312,4,3,2
7000000000,180,283,4,3,2
2800000000,250,90,4,3,2
1850000000,80,90,3,2,0
20999999488,613,613,9,4,2
4300000000,117,205,4,3,3
4300000000,200,145,3,3,2
5500000000,300,266,6,4,4
12999000000,400,429,9,5,5
2300000000,160,135,4,3,1
7100000000,200,256,5,3,3
7000000000,350,180,3,3,0
1500000000,200,170,7,2,0
1500000000,100,80,4,2,0
3500000000,150,135,4,2,0
4000000000,150,100,3,3,1
4000000000,144,126,4,2,3
3750000000,150,135,3,2,1
4000000000,150,140,4,2,2
6000000000,450,260,7,4,1
9200000000,650,695,9,6,1
7500000000,180,253,3,2,1
14250000000,350,393,5,4,1
4000000000,216,135,5,4,2
5850000000,220,138,4,3,2
2700000000,160,90,3,3,1
3250000000,200,157,7,3,1
9800000000,350,247,4,3,2
12000000000,350,237,4,3,2
18500000000,300,520,5,4,2
14500000000,500,307,10,7,2
8200000000,300,260,4,4,3
2700000000,120,92,3,3,2
2500000000,121,100,3,2,2
9900000000,350,250,5,3,2
4200000000,285,160,5,6,1
10000000000,353,535,10,10,7
5000000000,220,217,3,3,1
4300000000,250,90,4,4,2
3000000000,250,125,3,2,1
3000000000,130,170,4,3,1
3400000000,170,110,4,4,2
3200000000,150,90,3,2,1
3000000000,150,110,4,3,2
3200000000,210,91,5,3,1
3300000000,150,90,3,2,1
5700000000,250,190,4,3,1
2100000000,188,125,6,4,1
4000000000,89,175,3,3,2
2200000000,120,220,5,3,1
8500000000,234,300,5,4,1
1700000000,154,204,5,2,0
10500000000,350,247,5,5,3
1899000000,150,135,4,2,1
1500000000,90,121,3,2,0
9000000000,399,384,3,3,1
3500000000,180,100,5,4,1
7800000000,160,261,3,4,2
8000000000,200,202,5,3,3
8000000000,450,306,5,4,1
2900000000,90,135,2,1,1
2950000000,125,135,2,1,0
2600000000,80,130,2,1,0
2500000000,105,54,3,2,1
2500000000,100,130,3,2,0
2600000000,180,95,4,2,1
2700000000,120,142,3,2,1
5000000000,100,220,2,1,0
5900000000,340,134,5,4,3
3000000000,250,150,3,3,2
3500000000,160,118,4,4,2
3200000000,128,138,3,2,1
5300000000,200,145,3,3,2
6500000000,220,150,3,3,1
6000000000,300,284,7,3,3
3500000000,200,135,3,3,2
2780000000,192,120,5,4,2
4900000000,215,135,9,8,0
3800000000,160,165,4,3,1
4500000000,175,125,3,3,2
6500000000,350,230,4,4,2
5500000000,300,140,3,3,2
3900000000,150,250,4,2,2
9200000000,450,700,8,4,4
2200000000,150,82,5,2,2
2100000000,100,126,2,2,1
2450000000,150,135,5,2,0
2150000000,120,135,3,2,1
2300000000,130,150,4,1,0
2000000000,120,94,2,2,0
2250000000,130,150,2,1,0
2000000000,100,111,2,2,1
22000000000,350,448,6,7,2
9000000000,470,353,9,6,0
6200000000,260,138,6,5,0
2400000000,120,149,3,2,0
15000000000,237,387,5,4,3
22000000000,300,520,4,4,2
2200000000,120,100,3,2,1
5000000000,320,150,9,5,0
2700000000,135,87,3,2,2
4595000000,170,136,5,4,2
1300000000,100,75,3,2,0
12000000000,500,590,10,10,0
21000000000,300,500,4,3,4
3500000000,170,100,5,3,3
3900000000,179,142,5,4,2
25000000000,700,619,5,4,10
1250000000,480,312,4,2,1
3900000000,230,130,3,4,3
3000000000,150,160,5,2,0
12000000000,240,303,6,6,4
5000000000,275,210,6,5,3
2300000000,150,132,4,3,1
9800000000,162,342,5,3,2
6800000000,500,428,5,4,4
11000000000,600,391,7,5,4
11500000000,350,400,9,7,6
3600000000,130,163,3,2,2
22500000000,700,610,6,4,1
9500000000,340,240,7,4,2
13000000000,225,322,4,3,2
10000000000,300,264,5,4,0
5500000000,117,205,5,4,0
3500000000,90,110,3,3,1
3500000000,250,91,4,2,2
3800000000,154,113,4,4,3
2800000000,250,90,3,3,1
13750000000,600,429,6,4,1
6200000000,220,150,4,4,2
4600000000,200,147,4,3,1
12000000000,322,322,4,3,2
2500000000,94,78,2,2,2
2500000000,160,135,3,2,2
9200000000,450,700,8,4,2
6500000000,217,217,3,2,2
12000000000,450,700,8,4,0
35000000000,599,469,4,3,0
4200000000,120,143,6,3,2
5500000000,200,221,5,2,2
3500000000,190,100,6,4,2
900000000,100,56,3,2,0
3500000000,350,100,4,4,2
7500000000,150,288,5,3,1
3500000000,235,140,5,4,2
14000000000,200,475,5,3,0
3500000000,210,170,6,2,2
4950000000,225,110,5,4,2
2600000000,210,91,5,3,1
4200000000,200,165,4,2,0
4200000000,150,100,4,4,0
1300000000,332,125,7,7,0
8500000000,550,440,8,5,5
8750000000,180,137,4,4,2
3900000000,200,130,3,3,1
6100000000,390,130,7,6,3
2500000000,150,90,3,2,1
30900000000,1000,670,8,6,4
55000000000,400,1075,4,3,4
3500000000,225,360,4,2,1
3500000000,200,145,8,8,3
4500000000,150,200,3,2,2
55000000000,1126,1224,4,4,2
22000000000,300,520,4,4,3
3200000000,150,86,5,4,2
6500000000,300,173,4,4,2
1900000000,130,135,5,2,1
5990000000,350,220,5,5,2
5500000000,300,173,4,4,2
16500000000,800,361,7,5,6
23000000000,700,619,5,5,10
4499999744,250,140,5,4,2
3500000000,150,135,3,3,2
6000000000,220,150,4,4,2
3600000000,154,110,3,3,2
4300000000,180,135,4,4,2
7900000000,380,225,5,4,2
27000000512,350,1069,4,4,5
5000000000,320,150,5,5,3
3000000000,110,132,3,2,0
4900000000,280,170,5,4,3
3700000000,130,130,3,3,2
2900000000,160,160,3,3,1
3700000000,175,89,3,3,2
3600000000,100,180,4,2,1
2333333000,80,90,2,2,1
25000000000,890,271,5,6,3
6500000000,275,150,4,5,1
6500000000,270,140,3,3,4
22000000000,300,520,5,4,3
